,Clinic Name,Distance and Status,Address,Location,Contact Info
0,Union Medical Clinic & Surgery,10.92 km - Closing in 1 hr 58 min,152 Serangoon North Ave 1 #01-330,Singapore 550152,T +65 6282 3357
1,Silkroutes @ Chai Chee Clinic,10.93 km - Closing in 2 hr 28 min,55 Chai Chee Drive #01-188,Singapore 460055,T +65 6974 6607
2,Low & Lee Clinic & Surgery,10.93 km - Closing in 1 hr 28 min,55 Chai Chee Dr #01-202,Singapore 460055,T +65 6445 1175
3,Onecare Clinic Serangoon North,10.93 km - Closing in 0 hr 28 min,153 Serangoon North Ave 1 #01-480,Singapore 550153,T +65 6513 9011
4,Lifelink SN Clinic & Surgery,10.95 km - Open 24 Hrs,153 Serangoon North Ave 1 #01-534,Singapore 550153,T +65 6281 3977
5,Chen Family Clinic,10.95 km - Closing in 1 hr 58 min,153 Serangoon North Ave 1 #01-490,Singapore 550153,T +65 6281 2212
6,The Healer Clinic & Surgery,10.96 km - Closing in 1 hr 43 min,154 Serangoon North Ave 1 #01-452,Singapore 550154,T +65 6285 9866
7,Onecare Clinic Bedok MRT,10.96 km - Closed,Blk 315 New Upper Changi Road #Bedok MRT Station #01-01,Singapore 467347,T +65 6970 0813 F +65 6358 2691
8,TH Chia Medical Practice,10.98 km - Closing in 1 hr 28 min,151 Serangoon North Ave 2 #01-19,Singapore 550151,T +65 6281 3268
9,Tsi & Partners Family Clinic,10.98 km - Closing in 0 hr 58 min,151 Serangoon North Ave 2 #01-01,Singapore 550151,T +65 6383 4818
10,Family Healthcare Clinic & Surgery,10.98 km - Closed,151 Serangoon North Ave 2 #01-35,Singapore 550151,T +65 6288 9557
11,Acumed Medical Group (Teban Gardens),11.05 km - Closing in 2 hr 28 min,38 Teban Gardens Road #01-318/319,Singapore 600038,T +65 6561 9366 F +65 6561 6103
12,Drs. Bain and Partners - Jurong East (International Business Park),11.09 km - Closing in 2 hr 28 min,2 International Business Park The Strategy #01-06A/07A,Singapore 609930,T +65 6316 2648
13,Joash Family Clinic & Surgery,11.11 km - Closing in 1 hr 28 min,1030 Upper Serangoon Road,Singapore 534767,T +65 6282 7371
14,Premier Clinic & Surgery,11.12 km - Closing in 1 hr 58 min,631 Ang Mo Kio Ave 4 #01-936,Singapore 560631,T +65 6456 2982
15,SATA CommHealth Medical Centre - Uttamram,11.16 km - Closing in 2 hr 28 min,351 Chai Chee Street,Singapore 468982,T +65 6244 6685
16,G S Clinic & Surgery,11.18 km - Closing in 1 hr 58 min,632 Ang Mo Kio Ave 4 #01-960,Singapore 560632,T +65 6456 8967
17,Summit Medical Clinic,11.18 km - Closing in 0 hr 58 min,632 Ang Mo Kio Ave 4 #01-956,Singapore 560632,T +65 6456 0060
18,Eterna Medical Clinic,11.19 km - Closing in 2 hr 27 min,629 Ang Mo Kio Ave 4 #01-994,Singapore 560629,T +65 6802 3050
19,Tan Medicare Clinic,11.19 km - Closing in 1 hr 57 min,629 Ang Mo Kio Ave 4 #01-986,Singapore 560629,T +65 6454 4211
20,Chai Chee Clinic & Surgery,11.19 km - Closing in 1 hr 27 min,25A Chai Chee Road #01-453,Singapore 461025,T +65 6244 1231
21,Healthline Family Clinic & Surgery,11.19 km - Closing in 0 hr 27 min,25A Chai Chee Road #01-467,Singapore 461025,T +65 6446 3260
22,Lim Clinic & Surgery,11.22 km - Closing in 2 hr 27 min,20 Chai Chee Road #01-418/420,Singapore 461020,T +65 6241 2211
23,Platinum Medical Centre @Dorm,11.23 km - Closed,28 Toh Guan Road East (Mezzanine Floor) ##01-01,Singapore 608596,T +65 6565 6338 F +65 6515 3105
24,C & K Family Clinic,11.26 km - Closed,108 Upper East Coast Road,Singapore 455297,T +65 6242 9588
25,Excelsior Clinic & Surgery,11.28 km - Closing in 1 hr 57 min,283 Bukit Batok East Ave 3 #01-261,Singapore 650283,T +65 6567 3822
26,Yio Chu Kang MRT Clinic,11.28 km - Closing in 0 hr 57 min,635 Ang Mo Kio Ave 6 #01-5125,Singapore 560635,T +65 6459 8278
27,The Family Physician Clinic,11.28 km - Closing in 0 hr 27 min,542B Serangoon North Ave 3 #01-02,Singapore 552542,T +65 6555 1828
28,Ong Clinic & Surgery,11.29 km - Closing in 2 hr 27 min,265 Bukit Batok East Ave 4 #01-387,Singapore 650265,T +65 6769 5704
29,St Andrew's Mission Hospital Clinic (Elliot Road),11.3 km - Closed,1 Elliot Road,Singapore 458686,T +65 6517 3800 F +65 6517 3801
30,EH Medical Family Clinic (Bukit Batok),11.36 km - Closed,Blk 292 Bukit Batok East Avenue 6 ##01-07,Singapore 650292,T +65 6255 1368 F +65 6253 2469
31,First Light Family Clinic & Surgery,11.36 km - Closed,272 Bukit Batok East Ave 4 #01-72,Singapore 650272,T +65 6560 3930
32,Family Medical Clinic,11.38 km - Closing in 2 hr 27 min,280 Bukit Batok East Ave 3 #01-317,Singapore 650280,T +65 6567 6775
33,Lifeline Neighbourhood Medical Clinic Pte Ltd,11.38 km - Closing in 1 hr 27 min,280 Bukit Batok East Avenue 3 ##01-333,Singapore 650280,T +65 6567 8316
34,HL Family Clinic & Surgery,11.39 km - Closing in 0 hr 27 min,89 Bedok North St 4  ##01-83,Singapore 460089,T +65 6442 0494
35,Evangel Medical Clinic,11.42 km - Closing in 2 hr 27 min,10 Chai Chee Road #01-01,Singapore 467010,T +65 6449 0555
36,RafflesMedical,11.43 km - Closing in 2 hr 57 min,5012 Ang Mo Kio Ave 5 #01-01,Singapore 569876,T +65 6556 2318
37,Bewell Clinic,11.43 km - Closing in 1 hr 57 min,5012 Ang Mo Kio Ave 5 #01-01 Technoplace II,Singapore 569876,T +65 6555 9038
38,SM Haneefa Clinic,11.45 km - Closed,11 Chai Chee Road #01-23,Singapore 460011,T +65 6243 4237
39,Liew Clinic,11.48 km - Closing in 1 hr 27 min,5000G Marine Parade Road #01-31 Laguna Park,Singapore 449290,T +65 6443 1794
40,Healthcare Medical @ Rail Mall,11.49 km - Closing in 1 hr 57 min,446 Upper Bukit Timah Road #The Rail Mall,Singapore 678067,T +65 6765 5733
41,Pow Family Clinic & Surgery,11.51 km - Closing in 1 hr 57 min,620 Hougang Ave 8 #01-264,Singapore 530620,T +65 6287 8105
42,S Lee Clinic,11.51 km - Closing in 1 hr 57 min,644 Hougang Ave 8 #01-265,Singapore 530644,T +65 6386 1632
43,CMY Medical,11.52 km - Closing in 2 hr 57 min,37 Chai Chee Avenue #01-295,Singapore 461037,T +65 8388 0902
44,Curasia Endoscopy Centre,11.53 km - Closing in 3 hr 27 min,2 Venture Dr #01-06 Vision Exchange,Singapore 608526,T +65 6679 1229
45,Teban Garden Clinic,11.54 km - Closing in 2 hr 27 min,61 Teban Gardens Road #01-01,Singapore 600061,T +65 6561 9052
46,Newlife Family Clinic & Surgery,11.54 km - Closing in 1 hr 27 min,61 Teban Gardens Road #01-20,Singapore 600061,T +65 6566 3770
47,Keystone Family Clinic,11.56 km - Closing in 6 hr 27 min,377 Hougang Street 32 #01-03,Singapore 530377,T +65 6016 0068
48,Chong Medical Clinic,11.56 km - Closing in 1 hr 57 min,703 Bedok Reservoir Road #01-3500,Singapore 470703,T +65 6241 4678 F +65 6241 4678
49,Reservoir Road Clinic & Surgery,11.56 km - Closing in 1 hr 57 min,704 Bedok Reservoir Road #01-3622,Singapore 470704,T +65 6449 0289
50,Joy Family Clinic,11.56 km - Closed,703 Bedok Reservoir Road #01-3506,Singapore 470703,T +65 6442 2483
51,The Chungkiaw Family Practice,11.63 km - Closing in 1 hr 27 min,17 Ang Mo Kio Ave 9 #02-05,Singapore 569766,T +65 6455 1009
52,Yang & Yap Clinic & Surgery,11.65 km - Closing in 4 hr 27 min,537 Bedok North St 3 #01-571,Singapore 460537,T +65 6441 2481 F +65 6448 2821
53,Kho Clinic,11.65 km - Closing in 2 hr 27 min,537 Bedok North St 3 #01-519,Singapore 460537,T +65 6242 8266
54,The Civic Clinic,11.65 km - Closed,537 Bedok North St 3 #01-515,Singapore 460537,T +65 6441 2436
55,Lai Medical Clinic,11.66 km - Closing in 1 hr 27 min,213 Bukit Batok St 21 #01-209,Singapore 650213,T +65 6563 2935
56,Minmed Clinic (Jurong East),11.69 km - Closing in 6 hr 27 min,50 Jurong Gateway Road #04-17 JEM,Singapore 608549,T +65 6333 0123
