,Clinic Name,Distance and Status,Address,Location,Contact Info
0,Kindred Family Clinic (Tampines),16.24 km - Closing in 2 hr 15 min,494 Tampines Street 45 #01-02,Singapore 523494,T +65 6232 7893
1,S & L Family Clinic (Yishun 729),16.25 km - Closing in 1 hr 15 min,729 Yishun St 71 #01-105,Singapore 760729,T +65 6754 6203
2,Pioneer Medicare,16.27 km - Closing in 1 hr 15 min,3 Soon Lee Street #01-08,Singapore 627606,T +65 6339 7422
3,Temasek Medical Centre Yew Tee,16.29 km - Closing in 1 hr 45 min,624 Choa Chu Kang St 62 #01-226,Singapore 680624,T +65 6766 5766
4,Pacific Medical & Dental Group,16.31 km - Closing in 0 hr 15 min,716 Yishun St 71 #01-270,Singapore 760716,T +65 6752 4050
5,Healthmark Family Medicine Clinic,16.31 km - Closed,601 Choa Chu Kang St 62 #01-09,Singapore 680601,T +65 6767 2281
6,The Family Medical Centre (Yishun),16.33 km - Closing in 1 hr 45 min,411 Yishun Ring Road #01-1827,Singapore 760411,T +65 6257 4522 F +65 6758 8813
7,Healthway Medical Clinic (Elias Rd),16.34 km - Closing in 2 hr 15 min,625 Elias Road #01-322 Elias Mall,Singapore 510625,T +65 6584 6822
8,Elias Family Clinic & Surgery,16.34 km - Closing in 1 hr 45 min,625 Elias Road #01-320,Singapore 510625,T +65 6584 7760
9,Kai Medical Clinic,16.34 km - Closing in 1 hr 45 min,5 Tampines St 32 #02-05 Tampines Mart,Singapore 529284,T +65 6789 1112
10,Shenton Medical Group (Elias Mall),16.34 km - Closing in 0 hr 15 min,625 Elias Road #01-324B Elias Mall,Singapore 510625,T +65 6585 5768
11,Oei Family Clinic,16.34 km - Closed,625 Elias Road #02-316 Elias Mall,Singapore 510625,T +65 6581 5881
12,PanHealth Family Clinic,16.36 km - Closing in 1 hr 45 min,312B Sumang Link #01-03,Singapore 822312,T +65 6966 0595
13,FAITH Healthcare (Tampines),16.36 km - Closed,11 Tampines St 32 #01-11 Tampines Mart,Singapore 529287,T +65 6443 3843
14,Mission Cross Family Clinic,16.36 km - Closed,348 Yishun Ave 11 #01-03,Singapore 760348,T +65 6635 8579
15,Yoong Family Clinic & Surgery,16.4 km - Closing in 1 hr 15 min,333 Tampines St 32 #01-536,Singapore 520333,T +65 6782 6167
16,Kenneth Tan Medical Clinic,16.45 km - Closed,Blk 658 Punggol East ##01-07,Singapore 820658,T +65 6312 4589 F +65 6312 4635
17,Healthway Medical Clinic (Yishun 748),16.46 km - Closing in 2 hr 15 min,748 Yishun St 72 #01-230,Singapore 760748,T +65 6853 7101 F +65 6758 3731
18,Red Dot Medical,16.48 km - Closed,660A Edgedale Plains#02-06 Waterway Sundew,Singapore 821660,T +65 6937 2388 F +65 6481 1709
19,Minmed Clinic (Yishun),16.5 km - Closing in 2 hr 15 min,1 Northpoint Drive #02-153 Northpoint City,Singapore 768019,T +65 6554 0123
20,I.Medical & I.Aesthetics,16.5 km - Closed,1 Northpoint Drive ##B1-176,Singapore 768019,T +65 6254 1622
21,Raffles Medical (Northpoint City),16.51 km - Closing in 2 hr 45 min,Northpoint City (North Wing) #03-35,Singapore 769098,T +65 6755 0049 F +65 6241 3498
22,Wellcare Family Clinic,16.51 km - Closed,747 Yishun St 72 #01-106,Singapore 760747,T +65 6754 3740
23,Faith Medical Clinic & Surgery,16.53 km - Closing in 1 hr 15 min,487C Tampines St 45 #B1-103,Singapore 522487,T +65 6788 1061
24,RafflesMedical (White Sands),16.54 km - Closing in 2 hr 44 min,1 Pasir Ris Central St 3 #04-19 White Sands,Singapore 518457,T +65 6585 1279
25,Dayspring Medical Clinic (Pasir Ris),16.54 km - Closing in 2 hr 14 min,1 Pasir Ris Central St 3 #05-09 White Sands,Singapore 518457,T +65 6585 0123
26,My Family Clinic (Pioneer),16.6 km - Closing in 2 hr 14 min,638 Jurong West St 61 #02-09 Pioneer Mall,Singapore 640638,T +65 6861 1182
27,Dr Chua's Family Clinic,16.6 km - Closing in 0 hr 14 min,638 Jurong West St 61 #02-05 Pioneer Mall,Singapore 640638,T +65 6792 8505
28,Healthmark Pioneer Mall Clinic,16.6 km - Closed,638 Jurong West St 61 #02-08 Pioneer Mall,Singapore 640638,T +65 6861 3100
29,Hisemainn Medical Clinic (Jurong West),16.62 km - Closing in 0 hr 44 min,276 Jurong West St 25 #01-16,Singapore 640276,T +65 6795 8990 F +65 6793 9134
30,Healthway Medical,16.63 km - Closing in 2 hr 14 min,Blk 461 Yishun Avenue 6 ##01-05,Singapore 760461,T +65 6235 4824 F +65 6235 4825
31,S S Tan Medical Clinic,16.63 km - Closing in 2 hr 14 min,744 Yishun St 72 #01-195,Singapore 760744,T +65 6758 3952
32,RafflesMedical (Northpoint),16.66 km - Closing in 2 hr 44 min,930 Yishun Ave 2 #B1-54/55 Northpoint Shopping Centre,Singapore 769098,T +65 6755 0049
