,Clinic Name,Distance and Status,Address,Location,Contact Info
0,T S Wong Clinic & Surgery,18.28 km - Closing in 0 hr 42 min,166 Woodlands St 13 #02-523,Singapore 730166,T +65 6368 8670 F +65 6368 9278
1,Singapore Family Clinic & Surgery (Woodlands),18.3 km - Closing in 2 hr 12 min,717 Woodlands Dr 70 #01-114,Singapore 730717,T +65 6364 7450
2,Steward Clinic,18.33 km - Closing in 1 hr 42 min,4A Loyang Lane #01-01,Singapore 508923,T +65 6546 0978
3,Global Care Medical,18.35 km - Closing in 2 hr 12 min,77 Jalan Malu-Malu #Kindol Gardens #01-77,Singapore 769687,T +65 6481 6625 F +65 6481 6831
4,Peace Family Clinic (WL832),18.4 km - Closing in 1 hr 12 min,832 Woodlands St 83 #01-71,Singapore 730832,T +65 6363 4357 F +65 6363 4357
5,Mayfair Medical Clinic,18.41 km - Closed,Blk 182 Woodlands Street 13 ##01-04,Singapore 730182,T +65 6235 2880 F +65 6235 2811
6,W Medical,18.41 km - Closed,Blk 365 Sembawang Crescent #01-06,Singapore 750365,T +65 6273 1246
7,Canberra Care Medical Clinic,18.43 km - Closing in 1 hr 12 min,120 Canberra Crescent #01-04 Multi Storey Car Park,Singapore 750120,T +65 6483 1128 F +65 6483 1128
8,Canberra Medical Aesthetics,18.45 km - Closing in 0 hr 42 min,306A Canberra Road #01-01,Singapore 751306,T +65 6852 0500
9,Acumed Medical Group (Woodlands),18.48 km - Closing in 2 hr 12 min,111 Woodlands St 13 #01-78,Singapore 730111,T +65 6362 7789
10,Royal Medical Centre,18.48 km - Closing in 1 hr 12 min,111 Woodlands St 13 #01-84,Singapore 730111,T +65 6365 6855 F +65 6362 3254
11,T Medical Clinic,18.49 km - Closed,Blk 115 Canberra Walk ##01-05,Singapore 750115,T +65 6909 7550
12,Best Med Family Clinic and Home Care,18.5 km - Closing in 1 hr 42 min,"126 Canberra Street  #01-04, Multi Storey Car Park",Singapore 750126,T +65 6518 4268
13,Procross Medical Clinic,18.53 km - Closing in 0 hr 12 min,689A Woodlands Drive 75 #01-86,Singapore 731689,T +65 6219 9648 F +65 6219 9649
14,Duxton Medical Clinic Canberra,18.63 km - Closed,Blk 361 Sembawang Crescent #01-03,Singapore 750361,T +65 6969 1457 F +65 6538 3925
15,Clifford Dispensary (Dnata),18.65 km - Closing in 2 hr 12 min,50 Airport Boulevard #03-50A Dnata Building,Singapore 819658,T +65 6546 0923
