,Clinic Name,Distance and Status,Address,Location,Contact Info
0,Pancare Medical (Bukit Merah),.35 km - Closing in 2 hr 43 min,147 Silat Avenue #01-32,Singapore 160147,T +65 6970 2557
1,Marina Medical Centre (Tiong Bahru),.46 km - Closing in 1 hr 43 min,78 Guan Chuan Street #01-39,Singapore 160078,T +65 6222 2177
2,Kim Tian Clinic,.51 km - Closing in 3 hr 13 min,71 Seng Poh Road #01-41,Singapore 160071,T +65 6227 1612
3,Firsthealth Clinic & Surgery,.52 km - Closed,126 Kim Tian Road #01-04 Multi Storey Car Park,Singapore 160126,T +65 6694 4981
4,Kim Tian Green Family Clinic,.52 km - Closed,126 Kim Tian Road #01-06,Singapore 160126,T +65 6570 2822
5,Novo Vita Clinic and Surgery,.55 km - Closing in 1 hr 13 min,131 Jalan Bukit Merah #01-1573,Singapore 160131,T +65 6272 2983
6,Tiong Bahru Medical Centre,.73 km - Closing in 3 hr 13 min,10 Kim Tian Road #Kai Fook Mansion,Singapore 169248,T +65 6272 7966
7,Everton Clinic,.73 km - Closing in 2 hr 13 min,7 Everton Park #01-17,Singapore 080007,T +65 6220 7872
8,Chang Clinic & Surgery,.73 km - Closing in 1 hr 43 min,7 Everton Park #01-21,Singapore 080007,T +65 6221 6955
9,Hong Associates Clinic,.76 km - Closing in 2 hr 43 min,111 Jalan Bukit Merah #01-1682,Singapore 160111,T +65 6270 2233
10,HL Family Clinic & Surgery,.76 km - Closed,111 Jalan Bukit Merah #01-1704,Singapore 160111,T +65 6278 5966
11,The Pinnacle Medical Centre @ Maritime,.87 km - Closing in 2 hr 43 min,120 Cantonment Road #02-06 Maritime House,Singapore 089760,T +65 6225 2771
12,Yim Clinic & Surgery,.88 km - Closing in 5 hr 42 min,11A Boon Tiong Road #02-03,Singapore 161011,T +65 6270 7587
13,Onecare Clinic Tiong Bahru,.88 km - Closing in 0 hr 42 min,11A Boon Tiong Road #01-08,Singapore 161011,T +65 6358 2568
