,Clinic Name,Distance and Status,Address,Location,Contact Info
0,Saudara Clinic by A+J General Physicians,7.31 km - Closing in 3 hr 34 min,"228 Changi Road ##01-01, ICON@Changi",Singapore 419741,T +65 6244 4485
1,The Bidadari Clinic,7.35 km - Closing in 2 hr 34 min,115B Alkaff Crescent #01-11 Alkaff Lakeview,Singapore 342115,T +65 6518 3868
2,Cornerstone Medical Bidadari,7.39 km - Closing in 0 hr 34 min,Blk 106A Bidadari Park Drive ##01-03,Singapore 341106,T +65 6707 5660 F +65 6707 2576
3,Circuit Medical Clinic,7.41 km - Closed,Blk 36 Circuit Road #Balam Gardens #01-424,Singapore 370036,T +65 9046 2119
4,Woodleigh Care Family Clinic,7.43 km - Closing in 2 hr 34 min,11 Bidadari Park Drive #02-13 The Woodleigh Mall,Singapore 367803,T +65 6015 0982
5,Chuah Clinic & Surgery,7.43 km - Closing in 2 hr 4 min,113 Aljunied Ave 2 #01-19,Singapore 380113,T +65 6745 2104
6,M Lam Clinic,7.47 km - Closed,739 Geylang Road,Singapore 389649,T +65 6748 1949
7,C3 Family Clinic @Aljunied Crescent,7.5 km - Closed,95 Aljunied Crescent #01-509 Macpherson View,Singapore 380095,T +65 6742 2285
8,Assurance Medicare Clinic and Surgery,7.52 km - Closing in 2 hr 34 min,370 Tanjong Katong Road,Singapore 437127,T +65 6345 7810
9,Arcadia Clinic,7.54 km - Closing in 2 hr 4 min,2 Pandan Valley #01-211,Singapore 597626,T +65 6469 5122
10,Our Woodleigh Family Clinic Pte Ltd,7.56 km - Closing in 0 hr 4 min,115B Alkaff Crescent #01-05,Singapore 342115,T +65 6970 0560
11,Katong Family Clinic,7.59 km - Closing in 2 hr 34 min,263 Tanjong Katong Road #01-03 Suites@ Katong,Singapore 437050,T +65 6203 4192
12,Bishan Grace Clinic,7.6 km - Closing in 0 hr 34 min,150 Bishan St 11 #01-151,Singapore 570150,T +65 6254 2232
13,Heartland Health (Macpherson),7.61 km - Closed,88 Circuit Road #01-965,Singapore 370088,T +65 6547 8840
14,Tan's T & T Clinic & Surgery,7.7 km - Closing in 2 hr 4 min,152 Bishan St 11 #01-213,Singapore 570152,T +65 6353 1133
15,Kenneth Loo Family Clinic,7.7 km - Closed,152 Bishan St 11 #01-215,Singapore 570152,T +65 6250 3660
16,DR + Medical & Paincare Bishan,7.74 km - Open 24 Hrs,121 Bishan St 12 #01-95,Singapore 570121,T +65 6258 3212
17,Tan & Yik Clinic & Surgery,7.77 km - Closed,116 Bishan St 12 #01-36,Singapore 570116,T +65 6258 4122
18,DA Clinic @ Bishan,7.78 km - Closed,Blk 501 Bishan Street 11 ##01-374,Singapore 570501,T +65 6262 3759 F +65 6954 1012
19,1 Aljunied Medical,7.8 km - Closed,389 Upper Aljunied Road,Singapore 367874,T +65 6286 1923
20,Lifeline Bishan Medical Clinic,7.83 km - Closing in 2 hr 3 min,501 Bishan St 11 #01-376,Singapore 570501,T +65 6259 8969
21,Radlink Medicare @ Bishan,7.86 km - Closing in 2 hr 3 min,503 Bishan St 11 #01-464,Singapore 570503,T +65 6255 7545
22,Lee & Tan Family Clinic & Surgery,7.86 km - Closing in 1 hr 3 min,72 Circuit Road #01-03,Singapore 370072,T +65 6745 6877
23,TP Sim Family Clinic & Surgery,7.86 km - Closing in 1 hr 3 min,509 Bishan St 11 #01-378,Singapore 570509,T +65 6353 8010
24,National Clinic,7.87 km - Closing in 1 hr 33 min,352 Clementi Ave 2 #01-119,Singapore 120352,T +65 6776 0127
25,Mindchamps Medical Clinic,7.87 km - Closed,11 Tanjong Katong Road #02-03 OneKM Shopping Mall,Singapore 437157,T +65 6384 5644
26,Ho Medical Centre,7.87 km - Closed,352 Clementi Ave 2 #01-115,Singapore 120352,T +65 6474 8923
27,Teo Clinic & Surgery,7.87 km - Closed,352 Clementi Ave 2 #01-111,Singapore 120352,T +65 6776 0216
28,Yeo's Clinic,7.88 km - Closing in 2 hr 3 min,354 Clementi Ave 2 #01-221,Singapore 120354,T +65 6779 0790
29,MacPherson Medical Clinic,7.88 km - Closed,78 Circuit Road #01-488,Singapore 370078,T +65 6746 3913
30,Dayspring Medical Clinic (Haig Road),7.89 km - Closing in 0 hr 33 min,30 Haig Road,Singapore 438737,T +65 6846 9979
31,Minmed Clinic (Haig Road),7.89 km - Closing in 0 hr 33 min,30 Haig Road,Singapore 438737,T +65 6846 9979
32,My Family Clinic (Clementi),7.9 km - Closed,420A Clementi Ave 1 #01-05 Casa Clementi,Singapore 120420,T +65 6694 2574
33,Phoenix Medical Group (Paya Lebar),7.92 km - Closing in 3 hr 3 min,60 Paya Lebar Road #02-09 Paya Lebar Square,Singapore 409051,T +65 6702 2940
34,Healthlink Medical Clinic & Surgery,7.92 km - Closing in 2 hr 3 min,5 Upper Aljunied Lane #01-46,Singapore 360005,T +65 6289 0885
35,YSL Aljunied Clinic & Surgery,7.92 km - Closing in 0 hr 33 min,5 Upper Aljunied Lane #01-42,Singapore 360005,T +65 6343 0626
36,L'ving Vine Medical & Wellness Clinic,7.93 km - Closing in 6 hr 33 min,154 West Coast Road #01-84/85 West Coast Plaza,Singapore 127371,T +65 6777 7442
37,Viva Medical Group (Westside),7.93 km - Closing in 1 hr 33 min,154 West Coast Road #01-81 West Coast Plaza,Singapore 127371,T +65 6777 9069
38,Phoenix Medical Group (Novena),7.94 km - Closing in 0 hr 33 min,"Blk 275 Thomson Road, Novena Regency, #01-05",Singapore 307645,T +65 6254 3862
39,Teh's Clinic & Surgery,7.96 km - Closing in 3 hr 33 min,64 Circuit Road #01-339,Singapore 370064,T +65 6746 4117
40,Chan Family Clinic,7.98 km - Closing in 0 hr 33 min,865 Mountbatten Road #02-81H Katong Shopping Centre,Singapore 437844,T +65 6345 4683
