,Clinic Name,Distance and Status,Address,Location,Contact Info
0,Shenton Medical Group (Dhoby Xchange),2.5 km - Closing in 3 hr 10 min,11 Orchard Road #B2-01 Dhoby Ghaut MRT Station,Singapore 238826,T +65 6338 9775
1,Shenton Medical Group (Mandarin Orchard),2.52 km - Closing in 3 hr 10 min,"333 Orchard Road #06-23/24 Orchard Wing,  Mandarin Orchard",Singapore 238867,T +65 6238 3631
2,RafflesMedical (Ngee Ann City),2.56 km - Closing in 3 hr 40 min,391B Orchard Road #08-06 Ngee Ann City Tower B,Singapore 238874,T +65 6734 7355
3,Twin City Medical Pratice,2.56 km - Closing in 3 hr 40 min,391B Orchard Road #14-10 Ngee Ann City Tower B,Singapore 238874,T +65 6235 2511
4,Fullerton Healthcare @ Drs Trythall Hoy Davies,2.56 km - Closing in 3 hr 10 min,391B Orchard Road #25-07 Ngee Ann City Tower B,Singapore 238874,T +65 6836 5242
5,Fullerton Health @ Drs Trythall Hoy Davies,2.56 km - Closing in 2 hr 40 min,391B Orchard Road #25-03 Ngee Ann City Tower B,Singapore 238874,T +65 6333 3636
6,Fullerton Healthcare Screening Centre,2.56 km - Closing in 2 hr 40 min,391B Orchard Road #26-02 Ngee Ann City Tower B,Singapore 238874,T +65 6333 3636
7,Meridian Medical Centre,2.57 km - Closing in 2 hr 10 min,108 Depot Road #01-10,Singapore 100108,T +65 6278 0088
8,New Health Family Clinic,2.57 km - Closed,108 Depot Road #01-08 Depot Heights Shopping Centre,Singapore 100108,T +65 6278 6200
9,RafflesMedical,2.62 km - Closing in 3 hr 10 min,176 Orchard Road #03-28 Centrepoint,Singapore 238843,T +65 6733 8775
10,RafflesMedical (Raffles City),2.74 km - Closing in 3 hr 10 min,252 North Bridge Road #02-17 Raffles City Shopping Centre,Singapore 179103,T +65 6339 6911
11,Drs Singh & Partners (Raffles City),2.74 km - Closing in 2 hr 10 min,252 North Bridge Road #02-16 Raffles City Shopping Centre,Singapore 179103,T +65 6338 8883
12,Prime Medical Group,2.75 km - Closing in 2 hr 39 min,290 Orchard Road #09-11/12 Paragon,Singapore 238859,T +65 6732 8096
13,Pacific Medical Clinic,2.75 km - Closing in 2 hr 9 min,290 Orchard Road #12-01 Paragon,Singapore 238859,T +65 6734 1433
14,Asia Healthpartners,2.76 km - Closing in 3 hr 9 min,304 Orchard Road #05-06 Lucky Plaza,Singapore 238863,T +65 6235 7888
15,Healthplus Family Clinic & Surgery,2.78 km - Closing in 2 hr 9 min,78A Telok Blangah St 32 #01-02,Singapore 101078,T +65 6273 3327
16,HeartlandHealth (Telok Blangah),2.78 km - Closed,77 Telok Blangah Drive #01-244,Singapore 100077,T +65 6970 8422
17,Fraser Medical Centre,2.78 km - Closed,78A Telok Blangah St 32 #01-07,Singapore 101078,T +65 6273 3603
18,Elyon Family Clinic And Surgery,2.78 km - Closed,78B Telok Blangah St 32 ##01-22,Singapore 102078,T +65 6802 7208
19,AMDA International Peace Clinic,2.79 km - Closing in 4 hr 9 min,501 Orchard Road #05-01 Wheelock Place,Singapore 238880,T +65 6694 1661
20,Singapura Clinic,2.81 km - Closed,27 Bencoolen Street #01-27,Singapore 189620,T +65 6336 1181
21,Central Medical Group,2.83 km - Closed,11 Jalan Bukit Merah #01-4442,Singapore 150011,T +65 6272 2212
22,Newcastle Clinic,2.84 km - Closing in 3 hr 9 min,541 Orchard Road #18-02A Liat Towers,Singapore 238881,T +65 6736 2322
23,Dr Richard Choo & Partners,2.84 km - Closing in 2 hr 39 min,541 Orchard Road #10-02 Liat Towers,Singapore 238881,T +65 6734 5260
24,Healthsprings Medical Associates,2.84 km - Closing in 2 hr 39 min,541 Orchard Rd #Liat Towers #10-02,Singapore 238881,T +65 6734 5260 F +65 6737 1960
25,KL Ng Medical Clinic,2.86 km - Closing in 1 hr 39 min,1 Jalan Bukit Merah #01-4530,Singapore 150001,T +65 6271 2554
26,Alexandra Family Clinic & Surgery,2.86 km - Closing in 0 hr 39 min,57 Dawson Road #02-02 Dawson Place,Singapore 142057,T +65 6479 7022
27,Dawson Place Clinic,2.86 km - Closing in 0 hr 39 min,57 Dawson Road #02-03 Dawson Place,Singapore 142057,T +65 6475 0889
28,Friendship Clinic & Surgery,2.86 km - Closed,1 Jalan Bukit Merah #01-4524,Singapore 150001,T +65 6272 6628
29,Orchard Group Clinic,2.88 km - Closing in 2 hr 39 min,545 Orchard Road #12-04 Far East Shopping Centre,Singapore 238883,T +65 6734 4989
30,Shenton Medical Group (Esplanade Xchange),2.91 km - Closing in 3 hr 9 min,90 Bras Basah Road #B1-02 Esplanade MRT Station,Singapore 189562,T +65 6887 0151
31,Clifford Dispensary (Shaw House),2.91 km - Closing in 2 hr 39 min,350 Orchard Road #15-03 Shaw House,Singapore 238868,T +65 6737 4341
32,Parklane Medical Centre,2.93 km - Closing in 3 hr 9 min,35 Selegie Road #02-25A Parklane Shopping Mall,Singapore 188307,T +65 6334 7778
33,RafflesMedical (Shaw Centre),2.94 km - Closing in 3 hr 39 min,1 Scotts Road #04-09 to 14 Shaw Centre,Singapore 228208,T +65 6838 0080
34,Shalom Medical Group,2.95 km - Closing in 2 hr 39 min,231 Bain Street #03-57 Bras Basah Complex,Singapore 180231,T +65 6337 1884
35,RafflesMedical (Marina Square),2.96 km - Closing in 3 hr 9 min,6 Raffles Boulevard #01-212 Marina Square,Singapore 039594,T +65 6339 6644
36,Dr Kevin Chua Medical & Aesthetics,2.97 km - Closing in 3 hr 39 min,360 Orchard Road #03-05 International Building,Singapore 238869,T +65 6694 6700 F +65 6694 6701
37,Healthwerkz Medical Centre @ Orchard,2.98 km - Closing in 2 hr 39 min,9 Scotts Road #11-02 Pacific Plaza,Singapore 228210,T +65 6734 5987
38,Privé Clinic,3.01 km - Closing in 5 hr 39 min,390 Orchard Road #03-03 Palais Renaissance,Singapore 238871,T +65 6535 8684
39,Fusion Medical Health Screening & Aesthetic,3.05 km - Closing in 4 hr 39 min,501 Orchard Road ##04-11 Wheelock Place,Singapore 238880,T +65 6250 6548
40,The Family Practice@ Skyville,3.05 km - Closing in 2 hr 9 min,85 Dawson Road #01-06,Singapore 141085,T +65 6225 1382
41,Dawson Medical Clinic,3.05 km - Closing in 1 hr 9 min,85 Dawson Road #01-05,Singapore 141085,T +65 6250 2022
42,Corporate Medical Center,3.12 km - Closed,190 Middle Road #02-01 Fortune Centre,Singapore 188979,T +65 6337 1313
43,Healthpoint Family Clinic & Surgery,3.14 km - Closed,53B Strathmore Avenue #01-03,Singapore 144053,T +65 6474 0408
44,Meden Clinic & Surgery,3.23 km - Closing in 9 hr 39 min,59 Lengkok Bahru ##01-553,Singapore 150059,T +65 6474 1734
45,RafflesMedical,3.26 km - Closing in 3 hr 9 min,9 Raffles Boulevard #02-05 Millenia Walk,Singapore 039596,T +65 6337 6000
46,RafflesMedical (Anchorpoint),3.28 km - Closing in 3 hr 9 min,370 Alexandra Road #B1-41 Anchorpoint,Singapore 159953,T +65 6479 3818
47,Dr. Tan & Partners (Bencoolen),3.3 km - Closing in 2 hr 39 min,180 Bencoolen Street #02-20 The Bencoolen,Singapore 189646,T +65 6884 4119
