,Clinic Name,Distance and Status,Address,Location,Contact Info
0,Trucare Medical And Surgery (Hougang),12.19 km - Closed,1187 Upper Serangoon Road #01-53 The Midtown,Singapore 533971,T +65 6385 3525
1,My Family Clinic (Hougang Central),12.22 km - Closing in 9 hr 25 min,804 Hougang Central #01-118,Singapore 530804,T +65 6385 2117
2,Kcs Medical Centre (Bedok North),12.22 km - Closed,515 Bedok North Ave 2 #01-205,Singapore 460515,T +65 6443 8322
3,Bedok Clinic & Surgery,12.23 km - Closing in 2 hr 25 min,17 Bedok South Road #01-565,Singapore 460017,T +65 6241 0943
4,Family Healthcare Clinic & Surgery,12.23 km - Closing in 1 hr 55 min,523 Hougang Ave 6 #01-119,Singapore 530523,T +65 6387 1120
5,Acumed Medical Group (Tampines West),12.24 km - Closing in 2 hr 25 min,"Blk 801, Tampines Avenue 4, Tampines Polyview #01-269",Singapore 520801,T +65 6223 1070
6,Usrah Medical Clinic,12.29 km - Closing in 2 hr 25 min,510 Bedok North St 3 #01-25,Singapore 460510,T +65 6441 4139
7,Healthway Hougang Central Clinic,12.31 km - Closing in 2 hr 25 min,90 Hougang Ave 10 #04-06 Hougang Mall,Singapore 538766,T +65 6343 7620
8,Frontier Medical Associates (Buangkok),12.35 km - Closing in 5 hr 55 min,982 Buangkok Crescent #01-03,Singapore 530982,T +65 6315 2913
9,E J Tan Clinic & Surgery,12.36 km - Closing in 1 hr 25 min,104 Jurong East St 13 #01-100,Singapore 600104,T +65 6560 6600
10,Pancare Medical (Jurong East),12.36 km - Closed,"104 Jurong East Street 13, Jurong East Ville #01-104",Singapore 600104,T +65 6539 9987
11,Bedok Family Clinic & Surgery,12.41 km - Closing in 2 hr 25 min,218 Bedok North St 1 #01-17,Singapore 460218,T +65 6441 0236
12,My Doctor's Place,12.41 km - Closing in 1 hr 25 min,218 Bedok North St 1 #01-41,Singapore 460218,T +65 6444 9687
13,The Fahrenheit Medical Centre,12.41 km - Closed,218 Bedok North St 1 #01-27,Singapore 460218,T +65 6443 8063
14,Sia & Yeo Hougang Clinic,12.42 km - Closing in 1 hr 10 min,573 Hougang St 51 #01-21,Singapore 530573,T +65 6386 1426
15,Clinic@Costa,12.42 km - Closed,84 Bayshore Road #01-35/36 Costa Del Sol,Singapore 469994,T +65 6243 3638
16,Singapore Family Clinic & Surgery,12.43 km - Closing in 2 hr 25 min,153 Bukit Batok St 11 #01-284,Singapore 650153,T +65 6567 9881
17,Healthway Medical,12.45 km - Closing in 2 hr 25 min,218 Bedok North St 1 ##01-17,Singapore 460218,T +65 6441 0236 F +65 6441 0276
18,Citilife Family Clinic,12.49 km - Closed,215 Jurong East St 21 #01-539,Singapore 600215,T +65 6566 2281
19,Frontier Medical Associates (Bukit Batok),12.5 km - Closed,528 Bukit Batok St 51 #01-64,Singapore 650528,T +65 6566 5773
20,Q & M Medical Clinic (Bukit Batok),12.51 km - Closing in 2 hr 24 min,151 Bukit Batok St 11 #01-252,Singapore 650151,T +65 6565 3866
21,Foo And Ong Family Clinic Pte. Ltd.,12.51 km - Closed,Blk 151 Bukit Batok St 11 ##01-256,Singapore 650151,T +65 6567 2212 F +65 6425 6179
22,Healthline Family Clinic & Surgery (Bukit Batok),12.51 km - Closed,151 Bukit Batok St 11 #01-256,Singapore 650151,T +65 6567 2212
23,Koh Clinic & Surgery,12.54 km - Closed,166 Bukit Batok West Ave 8 #01-250,Singapore 650166,T +65 6561 9938
24,Medico Clinic & Surgery,12.55 km - Closed,249 Jurong East St 24 #01-88,Singapore 600249,T +65 6561 0934
25,Phoenix Medical Group ( Cactus ),12.57 km - Closed,7 Ang Mo Kio Street 66 #Floravista #01-17,Singapore 567708,T +65 6763 9185 F +65 6484 2240
26,Universal Medical Clinic (Bukit Batok),12.57 km - Closed,164 Bukit Batok St 11 #01-144,Singapore 650164,T +65 6563 9955
