,Clinic Name,Distance and Status,Address,Location,Contact Info
0,HealthMed Family Clinic (Bukit Panjang),13.58 km - Closed,416 Saujana Road #01-50,Singapore 670416,T +65 6760 4321
1,Island Family Clinic (Sengkang),13.6 km - Closed,279 Sengkang East Avenue #01-05,Singapore 540279,T +65 6384 2759
2,S K Tay Clinic & Surgery,13.61 km - Closing in 1 hr 52 min,827 Tampines St 81 #01-140,Singapore 520827,T +65 6783 6611
3,OneCare Clinic Tampines,13.61 km - Closing in 0 hr 22 min,827 Tampines St 81 #01-142,Singapore 520827,T +65 6443 5938
4,Shenton Medical Group,13.61 km - Closed,2 Jurong Port Road,Singapore 619088,T +65 6319 6692 F +65 6261 8863
5,Adidah Family Clinic & Surgery,13.62 km - Closing in 1 hr 52 min,821 Tampines St 81 #01-210,Singapore 520821,T +65 6784 5435
6,"Doctors Koo, Loh & Associates (Pte) Ltd",13.63 km - Closing in 2 hr 22 min,Blk 152 Yung Ho Rd #B1-03,Singapore 610152,T +65 6266 5939
7,Drs Koo Loh & Associates (Pte) Ltd,13.63 km - Closing in 1 hr 52 min,152 Yung Ho Road #B1-03,Singapore 610152,T +65 6266 5939
8,Distinct Clinic Tanah Merah Branch,13.65 km - Closing in 1 hr 52 min,"3, Bedok South Avenue 3 #B1-02",Singapore 465462,T +65 6015 0791
9,Our Family Physician Clinic & Surgery,13.68 km - Closing in 9 hr 22 min,829 Tampines St 81 #01-292,Singapore 520829,T +65 6785 0147
10,Etern Medical Clinic (Fernvale Palm),13.68 km - Closed,432A Sengkang West Way #01-03 Fernvale Palm,Singapore 791432,T +65 6604 7224
11,Ler Clinic & Surgery,13.71 km - Closing in 1 hr 52 min,835 Tampines St 83 #01-10,Singapore 520835,T +65 6788 6279
12,Mutual Healthcare Medical Clinic (Compassvale),13.77 km - Closing in 1 hr 22 min,205A Compassvale Lane #01-53,Singapore 541205,T +65 6547 3593
13,Chia & Lee Medical & Dental Clinic,13.78 km - Closing in 1 hr 52 min,802 Tampines Ave 4 #01-15,Singapore 520802,T +65 6781 2969
14,SATA CommHealth Tampines Medical Centre,13.82 km - Closing in 2 hr 22 min,"5 Tampines Central 6 #01-01A, Telepark Building",Singapore 529482,T +65 6244 6688
15,Paddington Medical Clinic,13.83 km - Closing in 2 hr 22 min,300 Bedok Road,Singapore 469457,T +65 6980 2986
16,NuHealth Medical Centre,13.83 km - Closing in 1 hr 52 min,1 Woodlands Road #01-23 Junction 10,Singapore 677899,T +65 6219 9298
17,Parkway Shenton Medical Group,13.85 km - Closing in 2 hr 22 min,"801, Tampines Avenue 4, Tampines Polyview #01-261",Singapore 520801,T +65 6223 1309
18,Tzu Chi Free Health Screening and Medical Clinic,13.85 km - Closing in 2 hr 21 min,328 Jurong East St 31 #01-138,Singapore 600328,T +65 6569 2236
19,Koh Clinic & Surgery,13.85 km - Closing in 1 hr 51 min,801 Tampines Ave 4 #01-269,Singapore 520801,T +65 6782 2882
20,Tampines Medilife Clinic,13.85 km - Closing in 1 hr 51 min,801 Tampines Ave 4 #01-263,Singapore 520801,T +65 6782 5142
21,River of Life Family Clinic,13.87 km - Closed,26 Teck Whye Lane #01-190,Singapore 680026,T +65 6760 0501
22,Phoenix Clinic & Surgery,13.88 km - Closed,150 Jalan Teck Whye #01-43,Singapore 680150,T +65 6767 5345
23,Healthsprings Medical Clinic,13.9 km - Closing in 1 hr 21 min,524A Jelapang Road #02-01/02 Greenridge Shopping Centre,Singapore 671524,T +65 6892 6681
24,Bukit Panjang Family Clinic,13.9 km - Closing in 0 hr 51 min,524A Jelapang Road #02-13 Greenridge Shopping Centre,Singapore 671524,T +65 6763 6838
25,Chin Medical Clinic,13.9 km - Closing in 0 hr 51 min,524A Jelapang Road #02-02A Greenridge Shopping Centre,Singapore 671524,T +65 6468 8195
26,Lifecare Family Clinic,13.9 km - Closed,524A Jelapang Road #02-15 Greenridge Shopping Centre,Singapore 671524,T +65 6769 8588
27,Acumed Medical Group (Sengkang),13.91 km - Closed,215C Compassvale Drive #01-02,Singapore 543215,T +65 6385 0113
28,Prohealth Medical Group @ Taman Jurong,13.92 km - Closing in 7 hr 21 min,399 Yung Sheng Road #01-56 Taman Jurong Shopping Centre,Singapore 610399,T +65 6268 2628
29,Point Medical Group (Taman Jurong),13.92 km - Closing in 3 hr 21 min,399 Yung Sheng Road #01-31 Taman Jurong Shopping Centre,Singapore 610399,T +65 6265 6587
30,My Family Clinic (Segar),13.93 km - Closing in 1 hr 21 min,485 Segar Road #01-508,Singapore 670485,T +65 6710 7269
31,Senja Family Clinic,13.94 km - Closing in 1 hr 21 min,609 Bukit Panjang Ring Road #B1-908,Singapore 670609,T +65 6219 0688
32,Da Clinic @ Anchorvale,13.95 km - Closing in 6 hr 21 min,Blk 351 Anchorvale Road ##01-01,Singapore 540351,T +65 6954 1012
33,Mutual Healthcare Medical Clinic (Anchorvale),13.95 km - Closing in 1 hr 21 min,319B Anchorvale Drive #01-92,Singapore 542319,T +65 6489 3833
34,Little Cross Family Clinic,13.95 km - Closing in 0 hr 21 min,929 Tampines St 91 #01-445,Singapore 520929,T +65 6544 0040
35,OneCare Clinic Bukit Panjang,13.99 km - Closing in 0 hr 21 min,547 Segar Road #01-05,Singapore 670547,T +65 6250 8533
36,Seasons Clinic,14 km - Closing in 2 hr 21 min,844 Tampines St 82 #01-139,Singapore 520844,T +65 6787 7836
37,Central 24-Hr Clinic (Tampines),14.03 km - Open 24 Hrs,Blk 201D Tampines Street 21 ##01-1151,Singapore 524201,T +65 6343 7731 F +65 6343 6528
38,RafflesMedical,14.03 km - Closing in 9 hr 21 min,1 Tampines Street 73,Singapore 528704,T +65 6311 1111 F +65 6311 2390
39,Healthway Medical Clinic (Sengkang),14.03 km - Closing in 7 hr 21 min,118 Rivervale Drive #02-17 Rivervale Plaza,Singapore 540118,T +65 6881 2689
40,Lifeline Medical Group (Sengkang),14.03 km - Closing in 6 hr 21 min,118 Rivervale Drive #02-18 Rivervale Plaza,Singapore 540118,T +65 6881 2392 F +65 6881 2393
41,Rivervale Family Clinic & Surgery,14.03 km - Closing in 0 hr 21 min,118 Rivervale Drive #01-02 Rivervale Plaza,Singapore 540118,T +65 6388 9762
42,Karri Family Clinic,14.04 km - Closed,866A Tampines St 83 #03-05 Tampines Central Community Complex,Singapore 521866,T +65 6785 0311 F +65 8785 7511
43,Lin & Sons Clinic & Surgery,14.05 km - Closing in 1 hr 51 min,18 Teck Whye Lane #01-97,Singapore 680018,T +65 6769 0554
44,AE Medical Clinic,14.06 km - Closed,467B Fernvale Link #01-529,Singapore 792467,T +65 6816 2900
45,Nyam Family Clinic,14.07 km - Closing in 1 hr 21 min,296 Bedok Road,Singapore 469452,T +65 6446 0069
46,Island Family Clinic (Fernvale),14.1 km - Closed,473A Fernvale Street #01-03,Singapore 791473,T +65 6481 3740
47,Family Doctors at 365,14.13 km - Closing in 2 hr 6 min,365 Corporation Drive #01-407,Singapore 610365,T +65 6265 2968
48,Sunbeam Medical Clinic,14.14 km - Closed,318B Anchorvale Link #01-257 Anchorvale Gardens,Singapore 542318,T +65 6802 3642 F +65 6385 8982
49,My Family Clinic (Anchorvale),14.18 km - Closed,326A Anchorvale Road #01-260,Singapore 541326,T +65 6702 3963
50,Minmed Clinic (Sengkang),14.24 km - Closing in 6 hr 21 min,1 Sengkang Square #04-16 Compass One,Singapore 545078,T +65 6386 0123
51,RafflesMedical (Compass One),14.24 km - Closing in 2 hr 51 min,1 Sengkang Square #04-09 Compass One,Singapore 545078,T +65 6311 1111
52,My Family Clinic (Senja),14.24 km - Closed,628 Senja Road #01-04,Singapore 670628,T +65 6314 0638
53,Northeast Medical Group (Sengkang),14.25 km - Closing in 7 hr 21 min,5 Sengkang Square #01-05 Sengkang NEL Station,Singapore 545062,T +65 6875 5911
