,Clinic Name,Distance and Status,Address,Location,Contact Info
0,Tan-Teoh Clinic & Surgery (Towner Rd),5.37 km - Closing in 3 hr 37 min,101 Towner Road #01-216,Singapore 322101,T +65 6299 2292
1,Healthway Medical Clinic (Towner Road),5.37 km - Closing in 2 hr 37 min,101 Towner Road #01-236,Singapore 322101,T +65 6297 7592
2,18 Clinic,5.37 km - Closing in 1 hr 37 min,101 Towner Road #01-228,Singapore 322101,T +65 6299 9750
3,The Family Clinic (Towner),5.37 km - Closing in 0 hr 7 min,101 Towner Road #01-202,Singapore 322101,T +65 6295 0995
4,Whampoa Clinic,5.38 km - Closing in 2 hr 37 min,88 Whampoa Drive #01-863,Singapore 320088,T +65 6252 1020
5,Family Health Clinic (Holland Drive),5.38 km - Closing in 2 hr 7 min,43 Holland Drive #01-65,Singapore 270043,T +65 6777 7933
6,May Medical Clinic & Surgery,5.4 km - Closed,41 Holland Drive #01-19 (off Commonwealth Avenue),Singapore 270041,T +65 6774 3318
7,The Balmoral Clinic,5.42 km - Closed,5 Stadium Walk #02-21 Leisure Park Kallang,Singapore 397693,T +65 6345 2202
8,Fullerton Healthcare @ Metropolis,5.43 km - Closing in 3 hr 7 min,9 North Buona Vista Drive #01-03 The Metropolis Tower 1,Singapore 138588,T +65 6339 5938
9,Heartland Health (Whampoa),5.45 km - Closing in 8 hr 37 min,87 Whampoa Drive #01-869,Singapore 320087,T +65 6252 1070
10,OneDoctors Family Clinic (Holland Village),5.45 km - Closing in 6 hr 37 min,253 Holland Avenue #02-01 Holland Village,Singapore 278982,T +65 6469 8938
11,Dover Medical Centre,5.45 km - Closing in 3 hr 7 min,69 Ayer Rajah Crescent #01-03,Singapore 139961,T +65 6775 6266
12,Providence Clinic @ Balestier,5.45 km - Closing in 1 hr 36 min,400 Balestier Road #01-45 Balestier Plaza,Singapore 329802,T +65 6255 0063
13,Livewell Medical Family Clinic,5.46 km - Closed,20 Ah Hood Road #01-08 Zhongshan Mall,Singapore 329984,T +65 6909 9888
14,Vista Medical Centre,5.49 km - Closed,218 Pasir Panjang Road  #01-10 ICON @ PASIR PANJANG,Singapore 11857,T +65 6778 0822
15,Silver Cross Medical Centre,5.52 km - Closing in 6 hr 36 min,275A Holland Avenue #Second Storey,Singapore 278993,T +65 6462 2818
16,The Coronation Clinic,5.54 km - Closing in 2 hr 36 min,587 Bukit Timah Road #02-01 Coronation Shopping Plaza,Singapore 269707,T +65 6468 6768
17,Healthway Medical Clinic (Holland Drive),5.54 km - Closing in 2 hr 6 min,45 Holland Drive #01-353,Singapore 270045,T +65 6778 9793
18,BL Medical Associates,5.55 km - Closing in 2 hr 36 min,"2 Science Park Drive #01-10 Ascent, Singapore Science Park 1",Singapore 118222,T +65 6265 1052
19,Shenton Family Medical Clinic (Towner),5.56 km - Closing in 2 hr 36 min,102 Towner Road #01-268,Singapore 322102,T +65 6391 0860
20,Winsome Medical & Dental Centre,5.56 km - Closing in 1 hr 6 min,81 Whampoa Drive #01-915,Singapore 320081,T +65 6254 4568
21,I-Health Medical Clinic,5.58 km - Closed,Blk 30 Bendemeer Road #Bendemeer Ville #01-883,Singapore 330030,T +65 6291 1371
22,One Wellness Clinic,5.6 km - Closing in 3 hr 36 min,"112, East Coast Road #04-19, i12 Katong",Singapore 428802,T +65 6568 0320
23,Unity Medical Clinic,5.63 km - Closing in 2 hr 36 min,501 West Coast Drive #01-250,Singapore 120501,T +65 6518 9379
24,Bukit Timah Clinic,5.65 km - Closing in 2 hr 36 min,621A Bukit Timah Road,Singapore 269731,T +65 6466 5458
25,Hua Mei Clinic,5.66 km - Closing in 3 hr 36 min,300 Whampoa Drive #02-06 Whampoa Community Club,Singapore 327737,T +65 6593 9500
26,Boon Keng Clinic & Surgery,5.67 km - Closing in 1 hr 36 min,11 Upper Boon Keng Road #01-919,Singapore 380011,T +65 6746 5456
27,New Town Clinic,5.67 km - Closing in 1 hr 36 min,11 Upper Boon Keng Road #01-929,Singapore 380011,T +65 6748 5259
28,T Medical Clinic (Kallang),5.71 km - Closed,Blk 5 Upper Boon Keng Road #Kallang Heights #01-14,Singapore 380005,T +65 6970 0882
29,Chiron Medical Clinic,5.72 km - Closing in 1 hr 36 min,3 St George's Road #01-95,Singapore 320003,T +65 6291 4963
30,St Georges Clinic and Surgery,5.72 km - Closed,3 Saint George's Road #01-105,Singapore 320003,T +65 6298 4833
31,Plushealth Medical Clinic & Surgery,5.73 km - Closing in 2 hr 6 min,89 Whampoa Drive #01-841,Singapore 320089,T +65 6264 7845
32,My Family Clinic (St George),5.74 km - Closing in 1 hr 36 min,2 St George's Road,Singapore 328023,T +65 6292 2128
33,The Chelsea Clinic (Rochester),5.77 km - Closing in 3 hr 36 min,35 Rochester Drive #03-21 The Rochester Mall,Singapore 138639,T +65 6570 3913
34,Inspire Medical Clinic (Jalan Batu),5.85 km - Closing in 6 hr 36 min,"8, Jalan Batu #01-11",Singapore 431008,T +65 8815 7214
35,Geylang Bahru Clinic,5.85 km - Closing in 1 hr 6 min,16 Upper Boon Keng Road #01-1093,Singapore 380016,T +65 6748 0316
36,Ko Family Clinic,5.86 km - Closed,18 Upper Boon Keng Road #01-1133,Singapore 380018,T +65 6842 1403
37,Kindred Family Clinic (Kallang Bahru),5.88 km - Closing in 2 hr 36 min,63 Kallang Bahru #01-435 Kallang Bahru Ville,Singapore 330063,T +65 6904 6642
38,Victor's Family Clinic,5.91 km - Closing in 2 hr 6 min,168 Toa Payoh Lorong 1 #01-1032,Singapore 310168,T +65 6353 2885
39,Picton Medical Centre,5.94 km - Closing in 1 hr 36 min,163 Toa Payoh Lorong 1 #01-1012/1014,Singapore 310163,T +65 6354 1220
40,Healthline Family Clinic and Surgery,6.02 km - Closing in 0 hr 6 min,66 Kallang Bahru #01-485,Singapore 330066,T +65 6295 0010
41,Kallang Bahru Family Clinic,6.02 km - Closing in 0 hr 6 min,66 Kallang Bahru #01-485,Singapore 330066,T +65 6295 0010
42,Healthlink Family Clinic & Surgery,6.05 km - Closing in 2 hr 6 min,21 Ghim Moh Road #01-187,Singapore 270021,T +65 6468 9808
43,Northeast Medical Group (Buona Vista),6.09 km - Closing in 7 hr 36 min,25 Ghim Moh Link #01-10,Singapore 270025,T +65 6694 3282
44,BabySteps Medical,6.1 km - Closing in 9 hr 36 min,25 Ghim Moh Link  #01-10,Singapore 270025,T +65 8839 1322
45,Pariqua Clinic,6.1 km - Closing in 2 hr 6 min,47 Bendemeer Road #01-1463,Singapore 330047,T +65 6292 1351
46,Mei Ling Clinic (Toa Payoh),6.11 km - Closing in 2 hr 21 min,500 Toa Payoh Lorong 6 #04-33 Biz One HDB Hub,Singapore 310500,T +65 6253 5600
47,Our Family Clinic & Surgery (Jalan Batu),6.11 km - Closing in 2 hr 6 min,8 Jalan Batu #01-15,Singapore 431008,T +65 6447 0847
48,Mediview Clinic & Surgery,6.13 km - Closing in 1 hr 36 min,150 Toa Payoh Lorong 1 #01-999,Singapore 310150,T +65 6253 2351
49,Belief Family Clinic,6.14 km - Closing in 5 hr 36 min,541 Kallang Bahru Geylang Bahru Mrt Station #B1-02,Singapore 339355,T +65 8855 6188
50,Low Medical Clinic,6.14 km - Closing in 1 hr 36 min,67 Kallang Bahru #01-447,Singapore 330067,T +65 6295 0805
51,Doctors Inc Medical Group,6.15 km - Closing in 2 hr 36 min,190 Toa Payoh Lorong 6 #01-590,Singapore 310190,T +65 6356 3633
52,Onecare Clinic Aljunied MRT,6.15 km - Closing in 0 hr 36 min,81 Lorong 25 Geylang #Aljunied MRT Station #01-03,Singapore 388310,T +65 6904 5871
53,The Tenteram Clinic,6.15 km - Closed,116B Jalan Tenteram #01-549 Tenteram Peak,Singapore 322116,T +65 6266 0196
54,Trinity Medical Clinic (Dover),6.21 km - Closing in 2 hr 36 min,19A Dover Crescent #01-01,Singapore 131019,T +65 6778 8868
55,Unihealth 24-Hr Clinic (Toa Payoh),6.24 km - Open 24 Hrs,178 Toa Payoh Central #01-218,Singapore 310178,T +65 6203 1639
56,Chng Clinic & Surgery,6.24 km - Closing in 1 hr 36 min,178 Toa Payoh Central #01-236,Singapore 310178,T +65 6250 4522
57,Dr Joyce & Partners Family Clinic (Toa Payoh Branch),6.25 km - Closed,Blk 177 Toa Payoh Central ##01-146,Singapore 310177,T +65 6926 7607
58,RafflesMedical (Toa Payoh),6.26 km - Closing in 3 hr 6 min,177 Toa Payoh Central #01-170,Singapore 310177,T +65 6254 7667
59,True Medical Clinic Paya Lebar Quarter,6.26 km - Closing in 3 hr 6 min,10 Paya Lebar Road  #04-26 Paya Lebar Quarter,Singapore 409057,T +65 6970 1933
60,Healthway Toa Payoh Clinic,6.27 km - Closing in 0 hr 35 min,177 Toa Payoh Central 1 #01-130,Singapore 310177,T +65 6255 3773
61,57 Medical Clinic (Geylang Bahru),6.27 km - Closed,Blk 57 Geylang Bahru #01-3505,Singapore 330057,T +65 6694 7078
62,Dover Clinic and Surgery,6.3 km - Closing in 2 hr 35 min,28 Dover Crescent #01-89 Multi-storey Car Park,Singapore 130028,T +65 6775 7410
63,Cornerstone Medical,6.32 km - Closing in 0 hr 35 min,Blk 29A Ghim Moh Link #01-03,Singapore 271029,T +65 6262 0018
64,B T Goh Family Clinic & Surgery,6.33 km - Closing in 2 hr 5 min,194 Kim Keat Avenue #01-406,Singapore 310194,T +65 6354 4535
65,My Family Clinic (Toa Payoh Central),6.36 km - Closed,79D Toa Payoh Central #01-53,Singapore 314079,T +65 6238 0301
66,Brighton Medical Clinic,6.37 km - Closing in 2 hr 35 min,83 Lorong 2 Toa Payoh #01-449,Singapore 310083,T +65 6514 1716
67,Aicare Family Clinic,6.44 km - Closing in 2 hr 35 min,83 Lorong 2 Toa Payoh #01-457 Toa Payoh Peakview,Singapore 310083,T +65 6266 7820
68,Redwood @ TPY Clinic And Surgery Pte. Ltd.,6.44 km - Closing in 2 hr 35 min,Blk 83 Lorong 2 Toa Payoh #01-457 Toa Payoh Peakview,Singapore 310083,T +65 6266 7820
69,Healthcare United,6.46 km - Closing in 2 hr 35 min,70 Toa Payoh Lorong 4 #01-335,Singapore 310070,T +65 9151 5377
70,Make-Well Family Clinic & Surgery,6.46 km - Closed,70 Toa Payoh Lorong 4 #01-351,Singapore 310070,T +65 6253 4235
71,Kin Mun Clinic,6.48 km - Closing in 2 hr 5 min,"66 Lorong 4 Toa Payoh #01-311, 313, 319",Singapore 310066,T +65 6256 6353
72,Familycare Clinic & Surgery,6.48 km - Closing in 1 hr 35 min,85C Toa Payoh Lorong 4 #01-380,Singapore 313085,T +65 6250 9033
73,Heartland Health (Toa Payoh),6.48 km - Closed,66 Lorong 4 Toa Payoh #01-315,Singapore 310066,T +65 6710 7326
74,Choong's Clinic,6.48 km - Closed,21 Old Airport Road #01-97,Singapore 390021,T +65 6344 2400
75,Healthwise Medical Clinic & Surgery,6.52 km - Closing in 2 hr 5 min,41 Jalan Tiga #01-07,Singapore 390041,T +65 6345 8601
76,Northeast Medical Group (Kallang),6.54 km - Closing in 7 hr 35 min,39 Jalan Tiga #01-01 Pine Green,Singapore 390039,T +65 6241 3298
77,Spring Medical Clinic (Old Airport Road),6.54 km - Closing in 0 hr 35 min,39 Jalan Tiga #01-03,Singapore 390039,T +65 6247 7077
78,Anteh Dispensary,6.59 km - Closing in 2 hr 35 min,"1, Lorong 22, Geylang, Grandview Suites #01-20",Singapore 398664,T +65 6744 1809
79,E Medical Clinic & Surgery (Toa Payoh ),6.6 km - Closing in 2 hr 35 min,126 Toa Payoh Lorong 1 #01-567,Singapore 310126,T +65 6356 9391
80,Cassia Clinic & Surgery,6.6 km - Closing in 1 hr 35 min,34 Cassia Crescent #01-75,Singapore 390034,T +65 6346 4260
81,Shenton Medical Group,6.6 km - Closed,Blk 126 Lorong 1 Toa Payoh ##01-561 Toa Payoh Heights,Singapore 310126,T +65 6233 9636 F +65 6225 3735
82,Braddell Medical Clinic,6.62 km - Closed,Blk 124 Lorong 1 Toa Payoh #01-489,Singapore 310124,T +65 6253 6288
83,Hisemainn Medical Clinic (Sims Place),6.63 km - Closing in 1 hr 5 min,48 Sims Place #01-167,Singapore 380048,T +65 6742 4413
84,TJ Medical Clinic & Surgery,6.63 km - Closing in 0 hr 5 min,48 Sims Place #01-167,Singapore 380048,T +65 6741 4537
85,Drs Chan & Tang Family Clinic,6.66 km - Closing in 2 hr 35 min,125 Toa Payoh Lorong 1 #01-549,Singapore 310125,T +65 6251 1782
86,C K Tan Family Clinic & Surgery,6.66 km - Closing in 1 hr 35 min,125 Toa Payoh Lorong 1 #01-537,Singapore 310125,T +65 6251 4438
87,The Occupational and Diving Medicine Centre,6.67 km - Closing in 3 hr 5 min,20 Lower Kent Ridge Road University Health Centre,Singapore 119080,T +65 6601 1781
88,Dr Jeremy Chan Medical Clinic,6.69 km - Closing in 0 hr 5 min,123 Lorong 1 Toa Payoh #01-493,Singapore 310123,T +65 6250 4191
89,Heartland Health (Kim Keat),6.69 km - Closed,19 Lorong 7 Toa Payoh #01-272,Singapore 310019,T +65 6710 7326
90,Finest Health Medical Centre,6.69 km - Closed,19 Lorong 7 Toa Payoh #01-268 Kim Keat Palm,Singapore 310019,T +65 6391 0279
91,Sims Drive Medical Clinic,6.73 km - Closing in 1 hr 35 min,53 Sims Place #01-174,Singapore 380053,T +65 6741 1607
